product_code,ten_san_pham_tren_san,ten_trong_file_gia_von,gia_nhap,ghi_chu,luy_ke_pct
SHRTT01,"Set son môi kem lì phiên bản trái tim 3 màu Herorange dưỡng môi, không",Son herorange trái tim 3c x - slim lip gloss kit,36000,,38.5
XKNTD01,"Xịt khoá make up, xịt khoá nền, giữ lớp nền lâu trôi suốt nhiều giờ li","Xịt khoá make up, xịt khoá nền",25000,,45.7
KCKDHS01,"Kem che khuyết điểm Thần Thánh Hiisees, kem lót che khuyết điểm mịn nh",Kem che khuyết điểm Thần Thánh Hissees,10000,,50.0
SRHX01,"Serum se khít lỗ chân lông Heyxi đa công dụng dưỡng da, trắng da, dưỡn",Serum se khít lỗ chân lông Heyxi ,26000,,53.8
SGLW,"Set 10 cây son kem lì Wetn Lip Gloss chính hãng nội địa trung, bền màu",Set son 10 cây WETN,55000,,57.1
SMKLW,"Set 7 cây son môi kem lì Wetn chính hãng nội địa trung dưỡng môi, khôn",Set son 7 cây WETN,50000,,60.3
SV01,"Set 5 cây son kem lì Vongee hình gấu bảng dẹt nội địa trung siêu hot, ",Set son 5 Vongee,30000,,63.4
SHR01,"Set son môi kem lì 3 màu Herorange, son dưỡng môi, không trôi, son môi",Set son môi kem lì 3 màu Herorange - Set A/B,35000,2 Phân loại của 1 SKU thôi nhưng đồng giá nhập,66.4
DGKI01,"Dầu gội đầu khô ISSY không cần dùng nước, chống bết tóc, thơm mát, suô",Dầu gội đầu khô ISSY,36000,,69.1
NHKARRI01,"Nước hoa nam, nước hoa nữ thơm lâu Karri hình đôi chân hàng nội địa Tr",Nước hoa chân karri collection,25000,,71.5
S5,"Set 5 cây son kem lì Vongee hoàng cung dạng ống nội địa Trung, siêu bề",Son 5 Vongee dạng Ống,58000,,73.5
S3,"Set 3 cây son thỏi lì Wetn hoa quả nội địa trung siêu bền màu, lâu trô",Set 3 son hoa quả,38080,,74.9
S8,"Set 8 cây son kem lì Wetn Little Monster nội địa trung siêu bền màu, l",Set 8 son Little Monster,42700,,76.1
SW7,"Set 7 cây son môi kem lì Wetn chính hãng nội địa trung dưỡng môi, khôn",Set son 7 cây WETN,50000,,77.3
SHRTT,"Set son môi kem lì phiên bản trái tim 3 màu Herorange dưỡng môi, không","Set son môi kem lì phiên bản trái tim 3 màu Herorange dưỡng môi, không",36000,,78.3
NHKARRI02,"Nước hoa nam, nước hoa nữ thơm lâu Karri hình đôi chân hàng nội địa Tr",Nước hoa chân karri collection,25000,,79.3
TXFS3,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,80.2
DGK01,"Dầu gội đầu khô ISSY không cần dùng nước, chống bết tóc, thơm mát, suô",Dầu gội đầu khô ISSY,36000,,81.0
DGK,"Dầu gội đầu khô ISSY không cần dùng nước, chống bết tóc, thơm mát, suô",Dầu gội đầu khô ISSY,36000,,81.9
BM35,"Bảng phấn mắt 35 ô nhiều màu nội địa Trung Dikalu Coco Venus siêu đẹp,",Bảng phấn mắt 35 ô ,40000,,82.7
MNMB,Hộp 60 miếng mặt nạ dưỡng mắt Bioaqua chiết xuất tảo biển giúp giảm qu,Mặt nạ mắt bioaqua,23000,,83.5
TXFS2,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,84.3
MN24,"Hộp 10 Miếng Mặt Nạ Lụa Vàng 24K Goldzan, Cấp Ẩm, Chống Lão Hóa & Làm ",Mặt nạ 10 miếng 24k ,33000,,85.0
SHR,"Set son môi kem lì 3 màu Herorange dưỡng môi, không trôi, son môi giá ",Set son môi kem lì 3 màu Herorange - Set A/B,35000,2 Phân loại của 1 SKU thôi nhưng đồng giá nhập,85.6
KMS01,Bút Chì Kẻ Mắt Nước Không Thấm Nước SUAKE Dụng Cụ Mỹ Phẩm Trang Điểm L,Kẻ mắt nước suake,4300,,86.2
S6,"Set 6 cây son kem lì Vongee hoàng cung dạng ống nội địa Trung, siêu bề",Son 6 Vongee dạng Ống,63000,,86.8
SRDM01,"Serum dưỡng mi dài và dày Bioaqua, dưỡng mi và lông mày chăm sóc mắt c",Serum dưỡng mi dài và dày Bioaqua,18000,,87.2
BPM42,"Bảng phấn mắt 42 ô nhiều màu Muge Leen Love Story nội địa trung, siêu ",Bảng phấn mắt 42 ô ,45000,,87.7
